ID,Y
3,0
5,0
6,0
10,0
17,0
19,0
20,0
32,1
42,0
44,0
45,0
46,0
48,0
51,0
52,0
53,0
55,0
60,0
62,0
63,0
72,0
74,0
76,0
78,0
79,0
83,0
85,0
87,0
89,0
96,0
98,0
102,0
103,0
105,0
124,0
132,0
136,0
138,0
139,0
147,0
151,0
154,0
156,0
158,0
159,0
162,0
168,0
173,0
175,0
177,0
182,0
183,0
184,0
189,0
191,0
194,0
196,0
197,0
199,0
201,0
212,0
215,0
216,0
217,0
222,0
224,0
225,0
228,0
229,0
230,0
231,0
232,0
235,0
238,0
242,0
243,0
247,0
249,0
250,0
251,0
252,0
267,0
269,0
279,0
281,0
282,0
283,0
288,0
291,0
294,0
300,0
302,0
307,0
313,0
316,0
321,0
322,0
324,0
325,0
327,0
333,0
334,0
337,0
338,0
339,0
340,0
341,0
342,0
345,0
348,0
349,0
350,0
354,0
355,1
357,0
359,0
360,0
364,0
367,0
369,0
382,0
386,0
392,0
393,0
395,0
400,0
402,0
409,0
410,0
411,0
413,0
414,0
424,0
427,0
429,0
431,0
433,0
434,0
435,0
436,0
444,0
451,0
457,0
467,0
472,0
477,0
478,0
483,0
487,0
490,0
492,0
494,0
495,0
497,0
498,0
505,0
508,0
511,0
512,0
518,0
519,0
523,0
528,0
531,0
532,0
534,0
536,0
537,0
541,0
547,0
551,0
552,0
553,0
557,0
560,0
564,0
565,0
570,0
573,0
574,0
580,0
587,0
592,0
596,0
601,0
602,0
603,0
604,0
609,0
610,0
615,0
623,0
624,0
625,0
626,0
628,0
629,0
636,0
637,0
638,0
639,0
640,0
643,0
644,1
645,1
647,0
654,0
659,0
660,0
664,0
666,0
672,0
677,0
678,0
683,1
684,0
685,0
694,0
699,1
704,0
712,0
716,0
719,0
723,0
727,1
729,0
738,1
743,0
744,0
747,0
749,0
765,0
768,0
769,0
771,0
772,0
773,1
776,1
777,1
780,0
783,0
784,0
787,0
794,0
797,0
798,0
800,0
811,0
812,0
816,0
820,0
821,0
828,0
829,0
836,0
840,0
842,0
851,0
864,0
865,0
866,0
872,0
873,0
875,0
877,0
879,0
885,0
898,0
903,1
904,0
905,0
908,0
909,0
911,0
916,0
918,0
920,0
925,0
927,0
929,0
935,0
937,0
938,0
939,0
943,0
945,0
951,0
963,0
966,0
972,0
977,0
986,0
987,0
991,0
995,0
999,0
1010,0
1013,1
1015,0
1017,0
1019,1
1025,0
1027,0
1030,0
1033,0
1034,0
1035,0
1036,0
1037,1
1042,0
1043,0
1046,0
1047,1
1052,0
1055,0
1057,0
1062,0
1066,0
1067,0
1070,1
1073,0
1074,1
1076,0
1077,0
1080,1
1083,0
1087,0
1088,0
1092,0
1094,0
1097,0
1102,0
1106,0
1109,0
1114,0
1116,0
1118,0
1120,0
1124,0
1125,0
1126,0
1136,0
1137,0
1140,0
1142,0
1143,0
1144,0
1147,0
1153,0
1157,0
1159,0
1163,0
1173,0
1174,0
1180,0
1184,0
1187,0
1193,0
1195,0
1198,0
1200,0
1202,0
1203,0
1206,0
1208,0
1213,0
1217,0
1218,0
1221,0
1224,0
1231,0
1234,0
1235,0
1242,0
1245,0
1253,1
1258,0
1259,0
1260,0
1262,0
1267,0
1270,0
1276,1
1277,0
1282,0
1285,0
1292,0
1294,0
1296,0
1300,0
1302,0
1308,0
1312,0
1314,0
1321,0
1325,1
1329,0
1335,0
1338,0
1345,0
1349,0
1350,0
1353,0
1355,0
1360,0
1362,0
1365,0
1367,0
1373,0
1374,0
1375,0
1376,0
1377,0
1381,0
1382,0
1399,0
1409,0
1411,0
1420,0
1421,0
1423,0
1427,0
1428,0
1429,0
1430,0
1437,0
1443,0
1447,0
1448,0
1449,0
1450,0
1453,0
1471,0
1476,0
1477,0
1481,0
1487,0
1489,0
1491,0
1494,0
1497,0
1501,0
1504,0
1507,0
1509,0
1513,0
1515,0
1517,0
1518,0
1519,0
1520,0
1526,0
1527,0
1528,0
1529,1
1530,0
1532,0
1533,0
1535,1
1537,1
1539,1
1540,1
1547,0
1554,0
1560,0
1561,0
1566,0
1570,0
1574,0
1575,0
1576,0
1581,0
1582,0
1586,0
1587,0
1589,0
1590,0
1591,0
1596,0
1599,0
1603,0
1604,0
1605,0
1606,0
1607,0
1609,0
1611,0
1613,0
1614,0
1617,0
1620,0
1621,0
1635,0
1637,0
1638,0
1645,0
1648,0
1659,0
1660,1
1662,0
1664,0
1667,0
1672,0
1677,0
1678,0
1680,0
1682,0
1686,0
1688,0
1692,0
1693,0
1696,0
1705,0
1706,0
1707,0
1712,0
1715,0
1718,0
1721,0
1723,0
1727,0
1750,0
1751,0
1757,0
1758,0
1761,0
1762,0
1766,0
1770,0
1778,0
1780,0
1781,0
1783,0
1794,0
1796,0
1800,0
1801,0
1802,0
1803,0
1805,0
1808,0
1816,0
1817,0
1821,0
1824,0
1830,0
1833,0
1836,0
1840,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1855,0
1858,0
1863,0
1876,0
1877,0
1878,0
1882,0
1887,1
1890,0
1893,0
1896,1
1897,1
1902,1
1912,0
1921,0
1929,0
1937,0
1945,0
1947,0
1948,0
1952,0
1956,0
1958,0
1961,0
1969,0
1972,0
1974,0
1975,0
1986,0
1987,0
1988,0
1990,0
1992,0
1994,0
2003,0
2017,0
2018,0
2019,0
2022,0
2023,0
2024,0
2030,0
2033,0
2035,0
2037,0
2041,0
2042,0
2043,0
2053,0
2055,0
2057,1
2061,0
2063,0
2064,0
2065,0
2070,0
2072,0
2074,0
2079,0
2081,0
2082,0
2083,0
2088,0
2091,0
2092,0
2093,0
